СПРАВОЧНЫЙ ДАМП ТН ВЭД ЕАЭС
Источник: https://tnved.info/TnvedTree/
Дата получения: 2026-07-20T13:32:37+00:00
Версия источника: 05.07.2022:2
Состав: 21 разделов, 96 групп, 21163 узлов, 13287 листовых кодов

РАЗДЕЛ I
ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05)

ИЕРАРХИЯ ТН ВЭД
I | ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05)
        0106900090 | – – прочие [Прочие животные живые]
  02 | МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ
    0201 | Мясо крупного рогатого скота, свежее или охлажденное:
      020110000 | – туши и полутуши:
        0201100001 | – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 10 000 2 или 0201 10 000 3 [Мясо крупного рогатого скота, свежее или охлажденное:  туши и полутуши в порядке, указанном в дополнительном примечании евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 10 000 2 или 0201 10 000 3]
        0201100002 | – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, свежее или охлажденное: туши и полутуши говядины стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
         | – – прочие:
          0201100003 | – – – высококачественная говядина12) [Туши и полутуши свежие или охлажденные: высококачественная говядина 12)]
          0201100008 | – – – прочие [Мясо крупного рогатого скота, свежее или охлажденное: туши и полутуши прочие]
      020120 | – прочие отруба, необваленные:
        020120200 | – – "компенсированные" четвертины:
          0201202001 | – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 200 2 или 0201 20 200 3 [Мясо крупного рогатого скота, свежее или охлажденное: "компенсированные" четвертины, необваленные, в порядке, указанном в дополнительном примечании евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 200 2 или 0201 20 200 3]
          0201202002 | – – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, свежее или охлажденное: "компенсированные" четвертины, необваленные: говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
           | – – – прочие:
            0201202003 | – – – – высококачественная говядина12) ["компенсированные" четвертины, необваленные, свежие или охлажденные: высококачественная говядина 12)]
            0201202008 | – – – – прочие [Мясо крупного рогатого скота, свежее или охлажденное: "компенсированные" четвертины, необваленные, прочие]
        020120300 | – – неразделенные или разделенные передние четвертины:
          0201203001 | – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 300 2 или 0201 20 300 3 [Мясо крупного рогатого скота, свежее или охлажденное: неразделенные или разделенные передние четвертины,  необваленные, в порядке, указанном в дополнительном примечании евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 300 2 или 0201 20 300 3]
          0201203002 | – – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, свежее или охлажденное: неразделенные или разделенные передние четвертины, необваленные: говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
           | – – – прочие:
            0201203003 | – – – – высококачественная говядина12) [Неразделенные или разделенные передние четвертины, необваленные, свежие или охлажденные: высококачественная говядина 12)]
            0201203008 | – – – – прочие [Мясо крупного рогатого скота, свежее или охлажденное: неразделенные или разделенные передние четвертины, необваленные, прочие]
        020120500 | – – неразделенные или разделенные задние четвертины:
          0201205001 | – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 500 2 или 0201 20 500 3 [Мясо крупного рогатого скота, свежее или охлажденное: неразделенные или разделенные задние четвертины, необваленные, в порядке, указанном в дополнительном примечании евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 500 2 или 0201 20 500 3]
          0201205002 | – – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, свежее или охлажденное: неразделенные или разделенные задние четвертины, необваленные: говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
           | – – – прочие:
            0201205003 | – – – – высококачественная говядина12) [Неразделенные или разделенные задние четвертины, необваленные, свежие или охлажденные: высококачественная говядина 12)]
            0201205008 | – – – – прочие [Мясо крупного рогатого скота, свежее или охлажденное: неразделенные или разделенные задние четвертины, необваленные, прочие]
        020120900 | – – прочие:
          0201209001 | – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 900 2 или 0201 20 900 3 [Мясо крупного рогатого скота, свежее или охлажденное: прочие отруба, необваленные, в порядке, указанном в дополнительном примечании евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 900 2 или 0201 20 900 3]
          0201209002 | – – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, свежее или охлажденное: прочие отруба, необваленные: говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
           | – – – прочие:
            0201209003 | – – – – высококачественная говядина12) [Прочие отруба, необваленные, свежие или охлажденные: высококачественная говядина 12)]
            0201209008 | – – – – прочие [Мясо крупного рогатого скота, прочее, свежее или охлажденное: прочие отруба, необваленные]
      020130000 | – мясо обваленное:
        0201300004 | – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 30 000 5 или 0201 30 000 6 [Мясо крупного рогатого скота, свежее или охлажденное: обваленное, в порядке, указанном в дополнительном примечании евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 30 000 5 или 0201 30 000 6]
        0201300005 | – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, свежее или охлажденное: обваленное: говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
         | – – прочее:
          0201300006 | – – – высококачественная говядина12) [Мясо обваленное, свежее или охлажденное: высококачественная говядина 12)]
          0201300008 | – – – прочее [Мясо крупного рогатого скота, свежее или охлажденное: обваленное, прочее]
    0202 | Мясо крупного рогатого скота, замороженное:
      020210000 | – туши и полутуши:
        0202100001 | – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 10 000 2 или 0202 10 000 3 [Мясо крупного рогатого скота, замороженное: туши и полутуши в порядке, указанном в дополнительном примечании евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 10 000 2 или 0202 10 000 3]
        0202100002 | – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы [Мясо крупного рогатого скота, замороженное: туши и полутуши говядины стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы]
         | – – прочие:
          0202100003 | – – – высококачественная говядина12) [Туши и полутуши замороженные: высококачественная говядина 12)]
          0202100008 | – – – прочие [Мясо крупного рогатого скота, замороженное: туши и полутуши прочие]
      020220 | – прочие отруба, необваленные:
        020220100 | – – "компенсированные" четвертины:
